,age_vehicule,depenses_carburants_corrigees_entd,depenses_diesel_corrigees_entd,depenses_essence_corrigees_entd,distance_diesel,distance_essence,distance,ident_men,vp_deplacements_pro,vp_domicile_travail,aides_logement,bat_49_74,bat_ap_74,bat_av_49,froid_cout,froid_impaye,froid_installation,froid_isolation,froid,isolation_fenetres,isolation_murs,isolation_toit,log_indiv,majorite_double_vitrage,ouest_sud,paris,petite_ville,rural,revdecm
0,21,1370.951750225057,1370.951750225057,0.0,12786.705746,0.0,12786.705746,10014,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,19,1746.693371692516,1746.693371692516,0.0,16291.203661,0.0,16291.203661,10093,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5920
2,12,754.5760510322922,0.0,754.5760510322922,0.0,7037.8420874,7037.8420874,10121,0,0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
3,0,0.0,0.0,0.0,0.0,0.0,0.0,10123,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0
4,2,550.6629053065977,550.6629053065977,0.0,6000.0,0.0,6000.0,10153,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,6040
5,10,2480.150812987846,2480.150812987846,0.0,23132.074959,0.0,23132.074959,10170,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,4010
6,8,2294.0961477869328,2294.0961477869328,0.0,21396.7649773,0.0,21396.7649773,10182,0,1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,23390
7,3,2589.282741544392,2589.282741544392,0.0,24149.93562238,0.0,24149.93562238,10198,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,8570
8,13,649.0662130782487,0.0,649.0662130782487,0.0,6053.7642371,6053.7642371,10204,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1580
9,4,428.86784992418393,0.0,428.86784992418393,0.0,4000.0,4000.0,10208,1,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3510
