,age_vehicule,depenses_carburants_corrigees_emp,depenses_diesel_corrigees_emp,depenses_essence_corrigees_emp,distance_diesel,distance_essence,distance,ident_men,vp_deplacements_pro,vp_domicile_travail,aides_logement,bat_49_74,bat_ap_74,bat_av_49,froid_cout,froid_impaye,froid_installation,froid_isolation,froid,isolation_fenetres,isolation_murs,isolation_toit,log_indiv,majorite_double_vitrage,ouest_sud,paris,petite_ville,rural,revdecm
0,0,0.0,0.0,0.0,0.0,0.0,0.0,10031,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,180
1,15,1032.7078831861102,0.0,1032.7078831861102,0.0,12000.0,12000.0,10038,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,28690
2,16,1041.62265765339,0.0,1041.62265765339,0.0,12103.589113,12103.589113,10057,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0
3,0,0.0,0.0,0.0,0.0,0.0,0.0,10090,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9410
4,0,0.0,0.0,0.0,0.0,0.0,0.0,10091,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,5300
5,0,0.0,0.0,0.0,0.0,0.0,0.0,10095,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,17860
6,0,0.0,0.0,0.0,0.0,0.0,0.0,10096,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,14480
7,0,0.0,0.0,0.0,0.0,0.0,0.0,10119,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
8,19,0.0,0.0,0.0,0.0,0.0,0.0,10123,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0
9,0,0.0,0.0,0.0,0.0,0.0,0.0,10177,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,12340
10,2,949.0429823426484,0.0,949.0429823426484,0.0,11027.819167,11027.819167,10188,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,9830
11,0,0.0,0.0,0.0,0.0,0.0,0.0,10202,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3840
12,7,657.9626458889231,657.9626458889231,0.0,8383.2573727,0.0,8383.2573727,10208,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,3140
13,7,435.2717033540064,435.2717033540064,0.0,5057.8295424,0.0,5057.8295424,10235,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,10590
14,13,1667.8051178214148,1667.8051178214148,0.0,19379.789522,0.0,19379.789522,10244,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,8750
15,25,1021.8302412068456,0.0,1021.8302412068456,0.0,13019.3802897,13019.3802897,10262,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,14340
16,4,103.27078831861104,103.27078831861104,0.0,1200.0,0.0,1200.0,10264,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17,20,86.05899026550918,0.0,86.05899026550918,0.0,1000.0,1000.0,10265,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,32380
18,0,0.0,0.0,0.0,0.0,0.0,0.0,10299,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,4920
19,0,0.0,0.0,0.0,0.0,0.0,0.0,103,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0
20,2,0.0,0.0,0.0,0.0,0.0,0.0,10311,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0
21,0,0.0,0.0,0.0,0.0,0.0,0.0,10313,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,19200
22,20,2171.099196624108,2171.099196624108,0.0,27662.487317,0.0,27662.487317,10322,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,17610
23,0,0.0,0.0,0.0,0.0,0.0,0.0,1033,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0
