aba,age_vehicule,agepr,nb_autre_carbu,cataeu,cs42pr,nb_diesel,dip14pr,nb_essence,etat_veh_achat,ident_men,km_autre_carbu,km_diesel,km_essence,mloy_d,nactifs,nbphab,nenfants,npers,ocde10,pondmen,poste_07_2_2_1,prix_achat,rev_disponible,revtot,situapr,stalog,tau,tuu,typmen,veh_tot,vp_deplacements_pro,vp_domicile_travail,rural,petite_ville,moyenne_ville,grande_ville,paris,niveau_vie,niveau_vie_decile,niveau_vie_quintile,donation_class_3,distance,distance_autre_carbu,distance_diesel,distance_essence,age_vehicule.1,depenses_carburants_corrigees_emp,depenses_diesel_corrigees_emp,depenses_essence_corrigees_emp
0,0,40,0,111,38,0,31,0,0,10031,0,0,0,700,1,1,0,1,1.0,3084.9728435,0.0,0,8994.75,9115.0,1,3,10,8,1,0,0,0,0,0,0,0,1,8994.75,1,1,1_0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
1,15,42,0,111,63,0,50,1,0,10038,0,0,0,0,1,8,2,4,2.3,1868.2644801,2756.0,0,24110.8,24506.0,1,2,8,7,4,1,0,0,0,0,0,1,0,10482.9565217391,1,1,1_0,12000.0,0.0,0.0,12000.0,19,1032.7078831861102,0.0,1032.7078831861102
0,16,21,0,111,38,0,30,1,0,10057,0,0,5,370,1,1,0,1,1.0,3471.688024,2080.0,0,759.5,1584.0,1,3,9,7,1,1,0,1,0,0,0,1,0,759.5,1,1,1_0,12103.589113,0.0,0.0,12103.589113,10,1041.62265765339,0.0,1041.62265765339
0,0,46,0,111,54,0,41,0,0,10090,0,0,0,118,1,3,1,2,1.5,4240.0765552,0.0,0,13703.95,13728.0,4,3,9,7,2,0,0,0,0,0,0,1,0,9135.96666666667,1,1,1_0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0,48,0,111,62,0,50,0,0,10091,0,0,0,0,1,1,0,1,1.0,1656.159734,0.0,0,8957.75,9039.0,4,3,6,5,1,0,0,0,0,0,1,0,0,8957.75,1,1,1_0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0,51,0,111,85,0,71,0,0,10095,0,0,0,0,2,6,2,3,2.0,1577.0294067,0.0,0,16330.0,16330.0,6,4,8,7,2,0,0,0,0,0,0,1,0,8165.0,1,1,1_0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0,32,0,111,85,0,33,0,0,10096,0,0,0,0,0,3,2,3,1.6,666.11690144,0.0,0,14231.65,14400.0,6,3,6,5,2,0,0,0,0,0,1,0,0,8894.78125,1,1,1_0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0,32,0,111,85,0,71,0,0,10119,0,0,0,0,0,3,1,2,1.3,1379.5245978,0.0,0,12774.0,12774.0,6,3,8,7,2,0,0,0,0,0,0,1,0,9826.15384615385,1,1,1_0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,19,30,0,211,55,1,60,0,2,10123,0,0,0,0,1,6,3,4,1.9,87.059175869,2080.0,300,9170.0,9170.0,4,3,1,2,2,1,0,0,0,1,0,0,0,4826.31578947368,1,1,1_0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0
2,0,65,0,112,68,0,70,0,0,10177,0,0,0,0,2,5,1,2,1.5,2545.6804894,0.0,0,14340.55,14960.0,1,1,9,1,2,0,0,0,0,1,0,0,0,9560.36666666667,1,1,1_0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
