age_vehicule,agepr,nb_autre_carbu,consommation,cs42pr,decile_rev,nb_diesel,dip14pr,distance_autre_carbu,distance_diesel,distance_essence,nb_essence,ident_men,nactifs,nenfants,niveau_vie_decile,npers,ocde10,pondmen,puissance,situapr,tuu,typmen,veh_tot,rural,petite_ville,moyenne_ville,grande_ville,paris,distance,niveau_vie_quintile,donation_class_3
18.0,84,0,7.2,75.0,8,0,32.0,0.0,0.0,2478.9161931,1,1100000114000,0,0,10,1,1.0,1842.9770767,7.0,5.0,8,1,1,0,0,0,0,1,2478.9161931,5.0,10_0
12.0,45,0,6.0,56.0,8,1,51.0,0.0,3076.1497326,3300.5605777,1,1100000115000,2,2,5,4,2.3,1948.3824415,5.0,1.0,8,4,2,0,0,0,0,1,6376.7103103,3.0,5_0
15.0,77,0,9.0,78.0,4,0,52.0,0.0,0.0,3902.8874125,1,1100000116000,0,0,3,2,1.5,833.45366972,7.0,5.0,0,3,1,1,0,0,0,0,3902.8874125,2.0,3_1
7.0,62,0,6.5,38.0,10,1,15.0,0.0,15980.511731,0.0,0,1100000124000,2,0,10,2,1.5,1698.1427817,6.0,1.0,8,3,1,0,0,0,0,1,15980.511731,5.0,10_0
10.0,59,0,5.7,54.0,7,1,51.0,0.0,3349.2692109,3320.3552906,1,1100000125000,1,0,7,2,1.5,1994.6334961,6.0,1.0,8,3,2,0,0,0,0,1,6669.6245015,4.0,7_0
10.0,60,0,6.5,74.0,9,1,42.0,0.0,11506.571637,0.0,0,1100000135000,1,1,9,2,1.5,1921.6107867,4.0,5.0,8,2,1,0,0,0,0,1,11506.571637,5.0,9_0
9.0,48,0,9999.0,37.0,7,1,13.0,0.0,24980.896367,0.0,0,1100000136000,1,1,7,2,1.5,1571.0859053,8.0,1.0,0,2,1,1,0,0,0,0,24980.896367,4.0,7_1
3.0,55,0,5.9,52.0,9,0,45.0,0.0,0.0,19296.9743868,2,1100000144000,2,0,9,2,1.5,1653.3892259,4.0,1.0,8,3,2,0,0,0,0,1,19296.9743868,5.0,9_0
8.0,38,0,5.2,38.0,9,1,15.0,0.0,21445.12012,12000.0,1,1100000146000,2,2,8,4,2.1,2937.6634796,6.0,1.0,4,4,2,0,0,1,0,0,33445.12012,4.0,8_0
0.0,50,0,0.0,43.0,6,0,34.0,0.0,0.0,0.0,0,1100000147000,1,0,8,1,1.0,2872.5229712,0.0,1.0,8,1,0,0,0,0,0,1,0.0,4.0,8_0
0.0,49,0,0.0,55.0,7,0,13.0,0.0,0.0,0.0,0,1100000153000,1,1,7,2,1.5,2361.8706656,0.0,1.0,8,2,0,0,0,0,0,1,0.0,4.0,7_0
2.0,48,0,7.5,37.0,8,2,32.0,0.0,34630.1770556,0.0,0,1100000154000,2,1,6,3,2.0,1824.952319,7.0,1.0,8,4,2,0,0,0,0,1,34630.1770556,3.0,6_0
10.0,40,0,9999.0,37.0,10,1,17.0,0.0,4501.0068957,2556.1345295,1,1100000155000,2,2,9,4,2.1,1590.5767484,5.0,1.0,8,4,2,0,0,0,0,1,7057.1414252,5.0,9_0
3.0,69,0,9999.0,74.0,5,0,21.0,0.0,0.0,5000.0,1,1100000157000,0,0,8,1,1.0,3111.1564806,6.0,5.0,8,1,1,0,0,0,0,1,5000.0,4.0,8_0
0.0,43,0,0.0,52.0,4,0,51.0,0.0,0.0,0.0,0,1100000158000,1,1,2,3,2.0,1407.9949575,0.0,1.0,8,5,0,0,0,0,0,1,0.0,1.0,2_0
4.0,66,1,6.0,74.0,10,1,14.0,14224.185657,11965.564738,0.0,0,1100000165000,0,0,10,2,1.5,1491.220115,8.0,5.0,8,3,2,0,0,0,0,1,26189.750395,5.0,10_0
0.0,45,0,0.0,35.0,10,0,22.0,0.0,0.0,0.0,0,1100000167000,2,3,9,5,2.4,4779.5833131,0.0,1.0,8,4,0,0,0,0,0,1,0.0,5.0,9_0
0.0,28,0,9999.0,53.0,7,0,23.0,0.0,0.0,100.0,1,1100000223000,1,1,7,2,1.5,4016.9372092,6.0,1.0,8,2,1,0,0,0,0,1,100.0,4.0,7_0
21.0,63,0,9999.0,75.0,6,0,35.0,0.0,0.0,11064.5490443,2,1100000225000,0,0,9,1,1.0,1583.2761194,4.0,5.0,8,1,2,0,0,0,0,1,11064.5490443,5.0,9_0
3.0,45,0,6.0,38.0,10,1,14.0,0.0,17743.930119,8858.308011,1,1100000226000,2,3,9,5,2.8,2824.2395302,7.0,1.0,4,4,2,0,0,1,0,0,26602.238129999998,5.0,9_0
16.0,62,0,7.5,48.0,10,1,43.0,0.0,4906.3945578,700.27369826,1,1100000227000,1,0,10,1,1.0,1986.984991,10.0,1.0,8,1,2,0,0,0,0,1,5606.66825606,5.0,10_0
0.0,62,0,0.0,75.0,2,0,21.0,0.0,0.0,0.0,0,1100000228000,0,0,3,1,1.0,2647.6468652,0.0,5.0,8,1,0,0,0,0,0,1,0.0,2.0,3_0
7.0,35,0,5.7,46.0,9,2,35.0,0.0,22560.622421,0.0,0,1100000234000,2,2,7,4,2.1,2463.0526103,5.0,1.0,8,4,2,0,0,0,0,1,22560.622421,4.0,7_0
7.0,67,0,9.0,74.0,9,1,52.0,0.0,12073.412448,8196.5771812,1,1100000235000,0,0,9,2,1.5,1269.2590565,8.0,5.0,8,3,2,0,0,0,0,1,20269.989629199998,5.0,9_0
0.0,37,0,0.0,46.0,3,0,22.0,0.0,0.0,0.0,0,1100000238000,1,0,6,1,1.0,2167.8160762,0.0,1.0,8,1,0,0,0,0,0,1,0.0,3.0,6_0
0.0,90,0,0.0,78.0,3,0,70.0,0.0,0.0,0.0,0,1100000243000,0,0,5,1,1.0,4271.6095414,0.0,5.0,8,1,0,0,0,0,0,1,0.0,3.0,5_0
6.0,38,0,1.4,46.0,8,0,53.0,0.0,0.0,10591.218302,2,1100000255000,2,2,5,4,2.3,2449.2009614,5.0,1.0,8,4,2,0,0,0,0,1,10591.218302,3.0,5_0
0.0,42,0,0.0,43.0,10,0,34.0,0.0,0.0,0.0,0,1100000257000,2,2,9,4,2.1,3009.4724632,0.0,1.0,8,4,0,0,0,0,0,1,0.0,5.0,9_0
1.0,70,0,6.7,75.0,9,0,31.0,0.0,0.0,10983.4763,1,1100000264000,0,0,9,2,1.5,2109.9209117,7.0,5.0,8,3,1,0,0,0,0,1,10983.4763,5.0,9_0
2.0,38,0,6.0,38.0,10,1,14.0,0.0,24884.711225,11024.623154,1,1100000265000,2,0,10,2,1.5,1962.4509697,6.0,1.0,8,3,2,0,0,0,0,1,35909.334379,5.0,10_0
0.0,57,0,0.0,77.0,2,0,71.0,0.0,0.0,0.0,0,1100000268000,0,0,3,1,1.0,2384.4426227,0.0,7.0,8,1,0,0,0,0,0,1,0.0,2.0,3_0
19.0,50,0,7.0,53.0,4,1,52.0,0.0,10895.013248,0.0,0,1100000313000,1,3,1,5,2.4,1381.2196187,7.0,1.0,8,4,2,0,0,0,0,1,10895.013248,1.0,1_0
13.0,32,0,6.0,43.0,7,0,34.0,0.0,0.0,12823.39779,1,1100000314000,1,1,8,2,1.3,4024.4868949,5.0,1.0,8,2,1,0,0,0,0,1,12823.39779,4.0,8_0
9.0,49,0,6.0,34.0,7,0,21.0,0.0,0.0,12324.6628047,2,1100000315000,2,2,3,4,2.5,1013.9781331,4.0,1.0,8,4,2,0,0,0,0,1,12324.6628047,2.0,3_0
10.0,60,0,6.5,37.0,7,1,32.0,0.0,8009.4162762,3980.8596974,1,1100000325000,3,1,5,3,2.0,879.69303895,5.0,1.0,8,4,2,0,0,0,0,1,11990.2759736,3.0,5_0
10.0,49,0,5.0,48.0,9,1,51.0,0.0,29786.625173,3809.060676,1,1100000326000,2,1,8,3,1.8,1715.123018,6.0,1.0,4,4,2,0,0,1,0,0,33595.685849,4.0,8_0
0.0,38,0,0.0,56.0,5,0,45.0,0.0,0.0,0.0,0,1100000328000,1,2,2,4,2.3,1933.1690821,0.0,1.0,8,5,0,0,0,0,0,1,0.0,1.0,2_0
0.0,55,0,0.0,56.0,2,0,71.0,0.0,0.0,0.0,0,1100000333000,1,0,4,1,1.0,2185.7609841,0.0,1.0,8,1,0,0,0,0,0,1,0.0,2.0,4_0
7.0,48,0,5.2,38.0,9,0,21.0,0.0,0.0,9054.2747664,1,1100000334000,2,1,8,3,2.0,1990.9765025,4.0,1.0,8,4,1,0,0,0,0,1,9054.2747664,4.0,8_0
7.0,36,0,5.2,54.0,9,1,32.0,0.0,27454.983891,15514.732243,1,1100000335000,2,2,7,4,2.1,1361.1064327,5.0,1.0,8,4,2,0,0,0,0,1,42969.716134,4.0,7_0
0.0,88,0,0.0,86.0,1,0,71.0,0.0,0.0,0.0,0,1100000338000,0,0,2,1,1.0,1184.7559705,0.0,5.0,8,1,0,0,0,0,0,1,0.0,1.0,2_0
4.0,51,0,6.0,37.0,9,2,17.0,0.0,20699.645487,20695.6817566,2,1100000344000,3,2,6,4,2.5,3336.4953831,5.0,1.0,8,4,4,0,0,0,0,1,41395.3272436,3.0,6_0
0.0,66,0,0.0,35.0,10,0,42.0,0.0,0.0,0.0,0,1100000347000,1,0,10,2,1.5,1809.8969589,0.0,1.0,8,3,0,0,0,0,0,1,0.0,5.0,10_0
0.0,49,0,0.0,52.0,1,0,60.0,0.0,0.0,0.0,0,1100000353000,1,0,2,1,1.0,2827.9796062,0.0,4.0,8,1,0,0,0,0,0,1,0.0,1.0,2_0
4.0,52,0,9999.0,37.0,7,0,43.0,0.0,0.0,16861.54367,1,1100000354000,1,0,9,1,1.0,2703.7722325,5.0,1.0,8,1,1,0,0,0,0,1,16861.54367,5.0,9_0
