,aba,agepr,aise,ancons,depenses_combustibles_liquides,depenses_combustibles_solides,depenses_electricite,depenses_gaz_liquefie,depenses_gaz_ville,depenses_tot,dip14pr,htl,ident_men,identifiant_menage,nactifs,nbphab,nenfants,npers,ocde10,pondmen,poste_04_5_0_0,poste_04_5_5_1,poste_04_5_5_2,revtot,stalog,surfhab_d,zeat,fioul,gaz_ville,electricite,strate,rural,petite_ville,moyenne_ville,grande_ville,paris,bat_av_49,bat_49_74,bat_ap_74,log_indiv,log_colec,ouest_sud,est_nord,aides_logement,depenses_energies,part_energies_depenses_tot,part_energies_revtot,niveau_vie,niveau_vie_decile,niveau_vie_quintile,donation_class_1,donation_class_2,donation_class_3,donation_class_4
0,2.0,73,3.0,9.0,0.0,296.9240735845666,356.4992847630512,0.0,0.0,19890.26,71.0,1.0,1,201700000,0,5.0,0,2,1.5,1443.2610177,0,0,0.0,35243.0,1,119.0,5,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,653.4233583476178,0.032851423679108156,0.018540514665256014,23495.333333333332,6,3,6,6_1,6_0,6_0_0
1,2.0,45,2.0,1.0,0.0,0.0,672.7998371195862,0.0,1834.9715274799107,60307.479999999996,12.0,1.0,100,201700001,2,6.0,1,3,1.8,2769.2862169,0,0,0.0,107062.0,2,143.0,1,0,1,1,4,0,0,0,0,1,1,0,0,1,0,0,1,0,2507.771364599497,0.041583089935104185,0.023423543036740362,59478.88888888889,10,5,10,10_1,10_4,10_1_0
2,2.0,54,2.0,4.0,0.0,0.0,771.180945377639,0.0,0.0,48613.6,41.0,1.0,1000,201700002,3,5.0,1,3,2.0,2682.0381495,0,0,0.0,51770.0,1,100.0,1,0,0,1,4,0,0,0,0,1,0,1,0,1,0,0,1,0,771.180945377639,0.01586348152322887,0.014896290233294167,25885.0,7,4,7,7_1,7_4,7_0_1
3,,44,3.0,5.0,0.0,0.0,761.6601929655693,0.0,0.0,5462.44,60.0,2.0,10001,201700003,0,1.0,0,1,1.0,12125.921549,0,0,0.0,12986.0,3,35.0,9,0,0,1,3,0,0,0,1,0,0,0,1,0,1,1,0,0,761.6601929655693,0.13943589182957972,0.05865240974630905,12986.0,2,1,2_0,2_0_0,2_3_0,2_0_0_0
4,2.0,47,4.0,1.0,0.0,0.0,911.8765088004454,0.0,1351.7156671894,41429.42,71.0,1.0,10003,201700004,3,5.0,1,3,2.0,3320.2935327,0,0,0.0,48481.0,1,80.0,3,0,1,1,3,0,0,0,1,0,1,0,0,1,0,0,1,0,2263.5921759898456,0.0546373127113497,0.04669029467193015,24240.5,7,4,7,7_1,7_3,7_1_0
5,2.0,44,2.0,9.0,0.0,0.0,2119.954203754168,126.06674616274196,0.0,61679.78,12.0,1.0,10005,201700005,2,5.0,2,4,2.3,4103.151021,0,0,0.0,93808.0,2,150.0,9,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,2246.0209499169096,0.036414217915772554,0.023942744221355422,40786.08695652174,10,5,10,10_1,10_1,10_0_0
6,,35,1.0,1.0,0.0,0.0,215.80372134024464,0.0,0.0,64056.06,12.0,2.0,10007,201700006,2,3.0,0,2,1.5,3812.1083373,0,0,0.0,74204.0,3,51.0,1,0,0,1,4,0,0,0,0,1,1,0,0,0,1,0,1,0,215.80372134024464,0.0033689821281584387,0.0029082491690507876,49469.333333333336,10,5,10,10_0,10_4,10_1_0
7,2.0,60,3.0,6.0,0.0,215.26995334881076,1346.6575356182914,0.0,0.0,30585.34,50.0,1.0,10009,201700007,2,4.0,0,2,1.5,3079.9409455,0,0,0.0,31815.0,1,89.0,4,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1561.9274889671021,0.051067847830598,0.049094059059157695,21210.0,6,3,6,6_1,6_0,6_0_0
8,,49,3.0,4.0,0.0,0.0,454.8803930211039,0.0,840.4449744182797,21949.074956300003,71.0,8.0,1001,201700008,2,3.0,0,2,1.5,1518.3133034,0,0,0.0,24138.0,3,55.0,2,0,1,1,2,0,0,1,0,0,0,1,0,0,1,0,1,0,1295.3253674393836,0.05901503229718521,0.05366332618441394,16092.0,3,2,3_0,3_0_0,3_2_0,3_0_1_0
9,2.0,63,1.0,1.0,0.0,0.0,314.9638607188394,0.0,573.2725305885161,41801.81999999999,30.0,2.0,10010,201700009,1,3.0,0,1,1.0,2678.775772,0,0,0.0,28228.0,1,73.0,8,0,1,1,3,0,0,0,1,0,1,0,0,0,1,0,1,0,888.2363913073555,0.02124874924841444,0.03146650103823705,28228.0,8,4,8,8_0,8_3,8_1_0
10,,80,3.0,1.0,0.0,0.0,317.35841373565387,0.0,1613.654350883097,14650.440000000002,71.0,2.0,10011,201700010,0,2.0,0,1,1.0,6662.5196275,0,0,0.0,15253.0,3,55.0,1,0,1,1,4,0,0,0,0,1,1,0,0,0,1,0,1,0,1931.012764618751,0.1318057863530891,0.1265988831455288,15253.0,3,2,3_0,3_0_0,3_4_0,3_1_0_0
11,2.0,66,2.0,5.0,0.0,0.0,704.5356784931516,0.0,1145.8066484569213,48398.82,50.0,1.0,10012,201700011,0,5.0,0,2,1.5,1763.0747419,0,0,0.0,24648.0,1,109.0,5,0,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1850.342326950073,0.03823114544838227,0.07507068837025613,16432.0,3,2,3_0,3_1_0,3_1_0,3_0_0_0
12,2.0,67,2.0,6.0,0.0,222.69305518842495,777.528113652352,75.64004769764517,0.0,18914.02,50.0,1.0,10013,201700012,0,4.0,0,2,1.5,1863.0369579,0,0,0.0,30189.0,1,100.0,8,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1075.861216538422,0.05688167912154169,0.03563752414914115,20126.0,5,3,5,5_1,5_0,5_0_0
13,,37,3.0,9.0,0.0,0.0,304.6640771862277,182.37655944876667,0.0,15830.856658450002,60.0,2.0,10014,201700013,0,4.0,3,4,1.9,687.64842672,0,0,0.0,24376.0,3,80.0,1,0,0,1,4,0,0,0,0,1,0,0,1,0,1,0,1,0,487.04063663499437,0.03076527361360623,0.01998033461745136,12829.473684210527,2,1,2_0,2_0_0,2_4_0,2_0_0_0
14,,69,3.0,1.0,0.0,386.00129565993655,370.2514826915962,156.8830618914122,0.0,13445.460000000001,50.0,1.0,10015,201700014,0,2.0,0,1,1.0,3623.222005,0,0,0.0,13114.0,3,65.0,8,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,913.1358402429449,0.06791406469120022,0.06963061157869033,13114.0,2,1,2_0,2_1_0,2_0_0,2_1_0_0
15,,39,1.0,9.0,0.0,0.0,61.03260101623902,0.0,111.08675628094302,44451.84,41.0,1.0,10018,201700015,1,4.0,0,1,1.0,1704.1088085,0,0,0.0,54700.0,3,80.0,1,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,172.11935729718203,0.0038720412315256703,0.0031466061663104577,54700.0,10,5,10,10_1,10_1,10_0_0
16,,23,3.0,99.0,0.0,0.0,922.4551225916339,0.0,700.3708120152331,23753.299999999996,33.0,2.0,10019,201700016,1,2.0,0,1,1.0,3903.0258477,0,0,0.0,20064.0,3,63.0,4,0,1,1,3,0,0,0,1,0,0,0,1,0,1,0,1,0,1622.8259346068671,0.06832002014906845,0.08088247281732791,20064.0,5,3,5,5_0,5_3,5_0_0
17,2.0,67,2.0,7.0,0.0,0.0,356.3947504597899,0.0,648.681788501857,23955.260315994,10.0,8.0,10020,201700017,0,4.0,0,1,1.0,2843.5900198,0,0,0.0,22730.0,1,92.0,7,0,1,1,3,0,0,0,1,0,0,0,1,0,1,1,0,0,1005.076538961647,0.04195640229760293,0.04421806154692683,22730.0,6,3,6,6_0,6_3,6_0_0
18,,38,3.0,9.0,0.0,0.0,1375.2197928545002,0.0,0.0,38570.8,31.0,2.0,10021,201700018,1,5.0,1,2,1.3,749.09972454,0,0,0.0,33447.0,3,90.0,7,0,0,1,3,0,0,0,1,0,0,0,1,0,1,1,0,0,1375.2197928545002,0.03565442751652805,0.04111638690628457,25728.46153846154,7,4,7,7_0,7_3,7_0_0
19,,72,4.0,3.0,0.0,0.0,768.0073612402824,0.0,1085.5747586236114,10586.28,60.0,2.0,10022,201700019,0,3.0,0,1,1.0,3037.6870229,0,0,0.0,12710.0,3,53.0,8,0,1,1,3,0,0,0,1,0,0,1,0,0,1,0,1,0,1853.5821198638937,0.17509286735887333,0.14583651611832366,12710.0,2,1,2_0,2_0_0,2_3_0,2_0_1_0
20,2.0,80,3.0,2.0,0.0,0.0,1292.7066052832301,210.11124360456992,0.0,27291.840315993995,41.0,1.0,10023,201700020,0,4.0,0,2,1.5,2358.5173841,0,0,0.0,36047.0,1,100.0,9,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1502.8178488878,0.05506473112430952,0.04169051096867423,24031.333333333332,7,4,7,7_1,7_0,7_0_1
21,2.0,57,3.0,99.0,1695.0191240019421,0.0,593.4602336856727,0.0,0.0,15252.5,41.0,1.0,10024,201700021,1,3.0,0,1,1.0,1183.8782637,0,0,0.0,27200.0,2,114.0,3,1,0,1,3,0,0,0,1,0,0,0,1,1,0,0,1,0,2288.479357687615,0.15003962351664415,0.08413527050322114,27200.0,7,4,7,7_1,7_3,7_0_0
22,2.0,67,1.0,9.0,0.0,148.4620367922833,317.35841373565387,0.0,0.0,54306.200000000004,44.0,1.0,10025,201700022,0,6.0,0,2,1.5,1489.066528,0,0,0.0,49124.0,1,140.0,5,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,465.82045052793717,0.008577666095730085,0.009482543166841812,32749.333333333332,9,5,9,9_1,9_1,9_0_0
23,2.0,61,3.0,1.0,847.5095620009711,0.0,755.3130246908562,126.06674616274196,0.0,13844.527538215001,50.0,1.0,10027,201700023,2,7.0,0,2,1.5,1826.9007474,0,0,0.0,23309.0,1,110.0,5,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1728.8893328545694,0.12487889731753736,0.07417260855697667,15539.333333333334,3,2,3_0,3_1_0,3_0_0,3_1_0_0
24,2.0,94,2.0,4.0,0.0,0.0,740.5029653831924,0.0,0.0,16379.24,41.0,1.0,10028,201700024,0,3.0,0,1,1.0,3099.0424475,0,0,0.0,23951.0,1,75.0,8,0,0,1,3,0,0,0,1,0,0,1,0,1,0,0,1,0,740.5029653831924,0.04520984889306173,0.030917413276405677,23951.0,7,4,7,7_1,7_3,7_0_1
25,2.0,83,1.0,1.0,0.0,0.0,675.9734212569427,154.0815786433513,0.0,24446.960000000003,71.0,1.0,10029,201700025,0,4.0,0,1,1.0,2319.612403,0,0,0.0,13330.0,5,109.0,9,0,0,1,3,0,0,0,1,0,1,0,0,1,0,1,0,0,830.054999900294,0.033953301347091576,0.06226969241562595,13330.0,2,1,2_0,2_1_0,2_3_0,2_1_0_0
26,2.0,75,2.0,7.0,0.0,0.0,3556.3688090262035,42.022248720913986,1008.6353449702009,39465.24904253,20.0,1.0,1003,201700026,0,5.0,0,2,1.5,2502.8744273,0,0,0.0,86138.0,1,150.0,8,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,4607.026402717318,0.11673628101909414,0.05348425088482804,57425.333333333336,10,5,10,10_1,10_0,10_0_0
27,,40,2.0,4.0,0.0,0.0,634.7168274713077,0.0,0.0,17032.38313264,31.0,2.0,10031,201700027,1,1.0,0,1,1.0,3084.9728435,0,0,0.0,9115.0,3,30.0,1,0,0,1,4,0,0,0,0,1,0,1,0,0,1,0,1,0,634.7168274713077,0.03726529767023432,0.06963432007364868,9115.0,1,1,1_0,1_0_0,1_4_0,1_0_1_0
28,2.0,67,4.0,6.0,0.0,1348.0352940739324,664.3369460866354,168.08899488365594,0.0,35804.700000000004,70.0,1.0,10032,201700028,1,4.0,0,2,1.5,1692.7512096,0,0,0.0,31748.0,1,90.0,2,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,2180.461235044224,0.06089874332264266,0.06868027072710797,21165.333333333332,5,3,5,5_1,5_1,5_0_0
29,2.0,38,3.0,8.0,0.0,0.0,1893.5718686227349,145.67712889916848,0.0,44551.937487910014,41.0,1.0,10034,201700029,2,5.0,3,5,2.4,1529.0165625,0,0,0.0,33099.0,2,140.0,5,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,2039.2489975219034,0.045772397621883246,0.06161059239015993,13791.25,2,1,2_0,2_1_0,2_1_0,2_0_0_0
30,,63,4.0,9.0,0.0,0.0,528.9306895594232,0.0,0.0,20113.02784975,71.0,2.0,10036,201700030,0,3.0,0,2,1.5,3514.5957673,0,1600,0.0,26874.0,3,63.0,3,0,0,1,2,0,0,1,0,0,0,0,1,0,1,0,1,0,528.9306895594232,0.0262979146407336,0.019681874285905454,17916.0,4,2,4_0,4_0_0,4_2_0,4_0_0_0
31,2.0,49,2.0,9.0,33.90038248003884,0.0,2041.6724616993733,0.0,0.0,34329.72000000001,71.0,1.0,10037,201700031,2,5.0,2,4,2.5,2190.6940977,0,0,0.0,51315.0,2,92.0,3,1,0,1,3,0,0,0,1,0,0,0,1,1,0,0,1,0,2075.572844179412,0.06045994095435126,0.04044768282528329,20526.0,5,3,5,5_1,5_3,5_0_0
32,1.0,42,3.0,2.0,0.0,0.0,1692.578206590154,579.907032348613,0.0,29881.9908753,50.0,1.0,10038,201700032,1,8.0,2,4,2.3,1868.2644801,0,0,0.0,24506.0,2,135.0,3,0,0,1,3,0,0,0,1,0,0,1,0,1,0,0,1,1,2272.485238938767,0.07604865580817671,0.09273178972246662,10654.782608695654,1,1,1_1,1_1_1,1_3_1,1_0_1_1
33,2.0,65,1.0,4.0,0.0,0.0,296.201186153277,0.0,210.11124360456992,24490.32,60.0,2.0,10039,201700033,0,3.0,0,1,1.0,2540.6035573,0,0,0.0,25343.0,1,77.0,3,0,1,1,3,0,0,0,1,0,0,1,0,0,1,0,1,0,506.31242975784687,0.020673981791901733,0.019978393629714195,25343.0,7,4,7,7_0,7_3,7_0_1
34,,60,3.0,6.0,0.0,0.0,425.0007399232995,0.0,773.5530327884645,32177.720000000005,41.0,2.0,10040,201700034,0,3.0,0,1,1.0,3508.1558571,0,0,0.0,20585.0,3,75.0,9,0,1,1,2,0,0,1,0,0,0,0,1,0,1,1,0,0,1198.553772711764,0.03724793965239811,0.05822461854319961,20585.0,5,3,5,5_0,5_2,5_0_0
35,2.0,44,3.0,3.0,0.0,0.0,299.3747702906335,0.0,369.7957887440431,31083.450875299997,50.0,1.0,10041,201700035,1,4.0,2,3,1.8,402.92969962,0,0,0.0,29186.0,2,90.0,7,0,1,1,3,0,0,0,1,0,0,1,0,1,0,1,0,0,669.1705590346766,0.021528193948581912,0.022927792744284126,16214.444444444443,3,2,3_0,3_1_0,3_3_0,3_0_1_0
36,,55,4.0,7.0,0.0,0.0,410.4502150981123,0.0,0.0,30373.84,31.0,2.0,10042,201700036,1,3.0,1,2,1.5,2768.1152947,0,0,0.0,26556.0,3,60.0,8,0,0,1,2,0,0,1,0,0,0,0,1,0,1,0,1,0,410.4502150981123,0.013513280345788097,0.015456025572304275,17704.0,4,2,4_0,4_0_0,4_2_0,4_0_0_0
37,2.0,75,1.0,1.0,0.0,0.0,706.6514012513893,0.0,1962.439015266683,22125.990875299998,44.0,1.0,10045,201700037,0,7.0,0,1,1.0,1982.4732893,0,0,0.0,69977.0,5,340.0,7,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,2669.0904165180723,0.120631452465149,0.038142395594524946,69977.0,10,5,10,10_1,10_1,10_1_0
38,2.0,61,3.0,2.0,1288.214534241476,0.0,1085.3657749759363,16.808899488365594,0.0,57887.63999999999,33.0,1.0,10046,201700038,1,9.0,0,2,1.5,2106.8449907,0,0,0.0,65891.0,1,254.0,4,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,2390.389208705778,0.04129360272254627,0.03627793186786933,43927.333333333336,10,5,10,10_1,10_1,10_0_1
39,2.0,40,3.0,1.0,2712.0305984031074,0.0,740.5029653831924,184.89789437202154,0.0,66421.73214337,31.0,1.0,10047,201700039,2,7.0,3,5,2.4,1749.9590807,0,0,0.0,95490.0,2,200.0,1,1,0,1,4,0,0,0,0,1,1,0,0,1,0,0,1,0,3637.4314581583217,0.054762670902755106,0.03809227624000756,39787.5,9,5,9,9_1,9_4,9_1_0
40,,57,4.0,5.0,0.0,0.0,581.8237585153654,0.0,0.0,13099.44,71.0,2.0,10048,201700040,1,3.0,0,1,1.0,2331.6354678,0,0,0.0,20300.0,3,75.0,1,0,0,1,4,0,0,0,0,1,0,0,1,0,1,0,1,0,581.8237585153654,0.04441592606366115,0.028661268892382533,20300.0,5,3,5,5_0,5_4,5_0_0
41,,30,3.0,99.0,1906.3315081275177,0.0,512.0049074935216,0.0,0.0,34707.57434384,41.0,2.0,1005,201700041,2,5.0,1,3,1.8,3939.9591465,0,0,0.0,35636.0,3,72.0,9,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,2418.336415621039,0.06967748283596926,0.06786217352174877,19797.777777777777,5,3,5,5_0,5_0,5_0_0
