,aba,agepr,ancons,coml13,depenses_combustibles_liquides,depenses_combustibles_solides,depenses_electricite,depenses_energies,depenses_gaz_liquefie,depenses_gaz_ville,dip14pr,gchauf_2,gchauf_6,gchauf_7,gchaufs_1,gchaufs_2,gchaufs_3,gchaufs_4,gchaufs_5,htl,iaatcd,iaatr,idlog,isolation_fenetres,isolation_murs,isolation_toit,kusa_5,majorite_double_vitrage,mtypmena,nactifs,nbphab,npers,ocde10,plus_14,plus_18,pondmen,poste_04_5_1_1_1,revtot,soc,stalog,surfhab_d,zeat,fioul,gaz_ville,electricite,strate,rural,petite_ville,moyenne_ville,grande_ville,paris,bat_av_49,bat_49_74,bat_ap_74,log_indiv,log_colec,ouest_sud,est_nord,froid,froid_installation,froid_cout,froid_isolation,froid_impaye,aides_logement,part_energies_revtot,niveau_vie,niveau_vie_decile,niveau_vie_quintile,donation_class_1,donation_class_2,donation_class_3,donation_class_4
0,1,59.0,1,0.0,0.0,0.0,4027.3308793599344,3000.0,0.0,0.0,10,0,0,0,0,0,0,0,0,1,,1,100001,2,1,1,0,2,43,2.0,6.0,4.0,2.5,4,4,1287.82117452193,3000.0,198340.0,0,1,195.0,9,0,0,1,3,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0.015125541998588283,79336.0,10,5,10,10_1,10_3,10_1_0
1,2,58.0,2,0.0,0.0,0.0,414.81508057407325,426.0,0.0,175.10945365884666,50,2,1,2,1,1,2,2,2,2,,2,100002,1,3,0,1,2,42,1.0,4.0,2.0,1.5,2,2,271.921821023544,309.0,39107.344098386115,2,3,82.0,1,0,1,1,2,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0.010893094630212442,26071.56273225741,7,4,7,7_0,7_2,7_0_1
2,2,86.0,2,0.0,0.0,87.82861145794502,805.4661758719869,3110.0,0.0,3663.8285688620226,44,1,2,2,1,1,2,2,2,1,,2,100003,2,1,3,0,1,21,2.0,6.0,3.0,2.0,3,3,669.509010734501,600.0,49986.32356055116,0,1,190.0,1,0,1,1,4,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0.06221701814562712,24993.16178027558,7,4,7,7_1,7_4,7_0_1
3,2,67.0,2,0.0,0.0,0.0,247.00962726740931,324.0,0.0,209.53267959178234,41,2,1,2,2,1,2,2,2,2,,2,100004,2,3,0,1,1,42,1.0,4.0,2.0,1.5,2,2,872.283984431712,184.0,25070.195181765434,2,3,87.0,1,0,1,1,4,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0.01292371270550212,16713.46345451029,4,2,4_0,4_0_0,4_4_0,4_0_1_0
4,2,76.0,2,,0.0,0.0,,516.0,267.6550825439371,,71,0,0,0,0,0,0,0,0,1,,2,100005,1,1,0,0,2,21,1.0,4.0,2.0,1.5,2,2,104.45642282191864,272.0,10847.479873072167,0,1,85.0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.047568652446262724,7231.653248714778,1,1,1_0,1_1_0,1_2_0,1_0_1_0
5,2,52.0,6,0.0,0.0,0.0,2220.4017581537773,1726.0,78.98018829165358,0.0,31,0,0,0,0,0,0,0,0,1,,4,100006,2,1,2,0,1,43,2.0,4.0,2.0,1.5,2,2,1577.55383391269,1654.0,93302.31489215282,0,1,110.0,2,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.018499005110377654,62201.54326143521,10,5,10,10_1,10_0,10_0_0
6,1,35.0,7,,0.0,0.0,,666.0,72.39850593401577,,43,0,0,0,0,0,0,0,0,2,,5,100007,2,2,0,0,2,43,2.0,3.0,2.0,1.5,2,2,99.49079946489928,600.0,23386.903300702685,2,3,65.0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0.0284774769637838,15591.268867135122,3,2,3_1,3_0_1,3_3_1,3_0_0_1
7,2,27.0,9,0.0,0.0,0.0,0.0,418.0,0.0,0.0,10,0,0,0,0,0,0,0,0,2,2008.0,6,100008,2,1,0,0,1,43,2.0,3.0,3.0,1.8,2,2,1665.0236264172,0.0,44896.0,2,3,70.0,1,0,0,0,4,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0.009310406272273699,24942.222222222223,7,4,7,7_0,7_4,7_0_0
8,2,81.0,5,0.0,1802.9697307363385,0.0,543.6896687135911,3095.0,318.1146472858269,0.0,71,0,0,0,0,0,0,0,0,2,,3,100009,2,1,0,0,1,41,0.0,4.0,2.0,1.5,2,2,1307.21618242368,405.0,17726.375355619413,0,1,60.0,9,1,0,1,2,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.1745985819384592,11817.583570412942,2,1,2_0,2_0_0,2_2_0,2_0_0_0
9,2,50.0,7,,0.0,0.0,,1080.0,289.5940237360631,,71,0,0,0,0,0,0,0,0,1,,5,100010,2,3,0,0,1,43,3.0,4.0,4.0,2.5,4,3,124.74751195859986,816.0,38919.994932191476,0,1,90.0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.027749232801330896,15567.99797287659,3,2,3_0,3_1_0,3_2_0,3_0_0_0
