,ident,pondmen,agepr,cataeu,cs42pr,ppa,ocde10,nactifs,nactoccup,npers,nivviem,prest_precarite_hand,prest_precarite_rsa,prest_precarite_vieil,retraites,rev_etranger,rev_valeurs_mobilieres_bruts,revdecm,rev_disponible,salaires,,stalog,tau,mhab_d,tuu,typmen,donation_class_1
0,17000001,553.60876709,62,112,72.0,0,1.5,1,1,2,22807.333333,0,0,0,17560,0,40,31460,34210,3370,1,,8,290,0,3,1
1,17000002,761.53618955,27,112,53.0,0,1.5,2,2,2,32640.0,0,0,0,0,0,0,50570,48960,47950,1,,10,380,0,3,2
2,17000003,396.42455543,90,112,75.0,0,1.0,0,0,1,18943.0,0,0,0,18850,0,0,19440,18940,0,2,,9,0,2,1,0
3,17000004,905.47347301,31,111,37.0,0,1.5,2,2,2,24329.333333,0,0,0,0,0,0,44290,36490,31900,1,,8,1350,6,3,2
4,17000005,390.097814,69,111,78.0,0,1.0,0,0,1,11369.0,0,0,0,9440,0,0,9500,11370,0,1,,9,0,7,1,0
5,17000006,334.1770412,78,221,78.0,0,1.5,0,0,2,29906.666667,0,0,0,45740,0,890,48060,44860,0,1,,1,660,2,3,0
6,17000007,747.15503775,18,111,84.0,0,1.0,0,0,1,611.0,0,0,0,0,0,0,0,610,0,2,4.0,9,90,7,1,0
7,17000008,324.99236926,46,111,22.0,0,1.8,1,1,3,63508.888889,0,0,0,0,0,99000,109740,114320,6220,1,,8,870,6,2,1
8,17000009,672.47823108,42,112,38.0,0,2.5,2,2,4,22600.8,0,0,0,0,0,0,57050,56500,55060,1,,9,680,0,4,2
9,17000010,708.19324662,50,111,43.0,0,2.0,2,1,3,16517.15,0,0,0,0,0,0,34520,33030,27530,2,,9,570,7,2,2
10,17000011,1315.4193661,40,111,37.0,0,2.1,2,2,4,43804.285714,0,0,0,0,0,0,109740,91990,105920,1,1.0,9,1570,7,4,2
11,17000012,345.67417661,53,111,64.0,0,1.5,2,2,2,27344.0,0,0,0,0,0,0,43020,41020,49670,1,,9,460,7,3,2
12,17000013,541.86625921,82,111,71.0,0,1.5,0,0,2,13924.0,0,0,0,20470,0,0,20610,20890,0,1,,6,0,4,3,0
13,17000014,351.93718533,58,112,63.0,290,1.8,2,2,3,19446.111111,0,0,0,0,0,0,36190,35000,32540,1,,6,240,0,4,2
14,17000015,441.6991251,64,111,72.0,0,1.5,0,0,2,31556.0,6560,0,0,0,0,0,20000,47330,15970,1,,10,0,8,3,0
15,17000016,302.16147195,75,111,35.0,0,2.1,2,2,4,34156.190476,0,0,0,35970,0,60,66880,71730,26840,1,4.0,8,840,7,4,2
16,17000017,347.29635857,56,120,63.0,0,2.0,1,1,3,17411.3566,0,0,0,10900,0,0,36480,34820,18030,1,,0,310,3,5,1
17,17000018,416.57757727,51,111,64.0,0,2.4,1,1,5,13408.75,0,0,0,0,0,0,20950,32180,18300,1,,10,0,8,5,1
18,17000019,567.44457784,58,111,52.0,0,1.0,1,1,1,22244.0,0,0,0,0,0,10,24620,22240,23750,1,4.0,9,700,7,1,1
19,17000020,824.17736155,44,111,35.0,0,1.0,1,1,1,13365.0,7160,0,0,0,0,0,3070,13370,0,1,4.0,9,0,7,1,1
20,17000021,542.70497882,87,112,77.0,0,1.0,0,0,1,24341.0,0,0,0,18230,0,0,26570,24340,0,2,7.0,8,0,1,1,0
21,17000022,296.41233082,70,111,77.0,0,1.5,0,0,2,28311.333333,0,0,0,44360,0,20,45770,42470,0,1,,7,1090,6,3,0
22,17000023,703.3626272,56,111,78.0,0,1.0,0,0,1,12567.0,9720,0,0,0,0,0,300,12570,290,1,,5,0,4,1,0
23,17000024,463.53303811,71,111,75.0,0,1.0,0,0,1,13785.0,0,0,0,14930,0,0,15050,13790,0,1,,10,1140,8,1,0
24,17000025,664.16961407,28,111,46.0,0,1.0,1,1,1,21401.0,0,0,0,0,0,0,24210,21400,23370,1,,10,900,8,1,1
25,17000026,332.71381741,82,400,78.0,0,1.0,0,0,1,12268.0,0,0,0,12010,0,0,12080,12270,0,2,,0,0,0,1,0
26,17000027,691.35081972,33,111,38.0,0,1.5,1,1,2,28033.333333,0,0,0,0,0,0,47180,42050,43090,1,,10,380,8,3,1
27,17000028,416.38239123,56,300,38.0,0,1.8,2,1,3,32236.111111,0,0,0,0,0,10,59880,58030,32280,1,,0,960,0,4,2
28,17000029,634.27507029,40,111,37.0,0,1.0,1,1,1,29662.0,0,0,0,0,0,0,35300,29660,32200,2,,9,800,7,1,1
29,17000030,592.43445219,66,221,74.0,0,1.5,0,0,2,29818.746667,0,0,0,36860,0,80,45830,44730,0,1,7.0,1,510,1,3,0
30,17000031,460.46539147,45,120,55.0,0,3.0,2,2,5,11693.333333,0,0,0,0,0,420,28510,35080,25710,1,,0,110,1,4,2
31,17000032,493.27006331,34,111,34.0,0,1.0,1,1,1,43177.0,0,0,0,0,0,0,54460,43180,52570,2,1.0,8,1610,7,1,1
32,17000033,975.6810627,66,111,78.0,0,1.5,0,0,2,12539.333333,0,4560,0,11050,0,0,11840,18810,290,2,,9,0,7,2,0
33,17000034,1157.2297166,42,112,37.0,0,2.5,2,2,4,30163.04,0,0,0,0,0,70,76560,75410,76690,1,,9,1110,2,4,2
34,17000035,489.72930182,39,112,55.0,3890,1.6,1,1,3,15011.25,0,0,0,0,0,0,14850,24020,14330,1,,8,240,1,2,1
35,17000036,690.18508987,31,111,56.0,0,1.0,1,1,1,17376.0,0,0,0,0,0,0,19170,17380,18510,2,3.0,6,650,5,1,1
36,17000038,535.71946451,66,112,78.0,0,2.0,1,0,3,9443.0,0,0,0,15350,0,0,17380,18890,1840,1,,10,0,4,4,1
37,17000039,321.64477141,54,120,78.0,0,2.0,1,0,3,10699.9736,0,0,0,0,0,0,20580,21400,0,1,,0,0,1,4,1
38,17000040,742.08669037,52,400,21.0,0,2.0,2,2,3,20503.5,0,0,0,0,0,10,40760,41010,3590,1,,0,1010,0,4,2
39,17000041,186.81671653,50,111,67.0,0,2.5,1,1,4,15554.4,0,0,9990,0,0,0,22470,38890,16990,1,,7,310,5,5,1
40,17000042,600.58788283,57,111,56.0,0,1.8,2,0,3,7088.8888889,0,790,0,0,0,0,11730,12760,0,1,2.0,6,210,5,4,2
41,17000043,621.15692114,69,111,74.0,0,1.0,0,0,1,28005.0,0,0,0,31380,0,20,32750,28010,0,1,,7,670,5,1,0
42,17000044,721.37082729,45,111,37.0,0,1.0,1,1,1,51281.0,0,0,0,0,0,5640,58690,51280,51210,2,,10,350,8,1,1
43,17000045,380.05856979,58,111,47.0,0,2.5,3,3,4,18818.4,0,0,0,0,0,30,47570,47050,45890,1,,7,730,5,4,3
44,17000046,689.30168966,50,111,56.0,0,1.0,1,1,1,27527.0,0,0,0,0,0,100,28060,27530,26990,1,,10,470,8,1,1
45,17000047,260.29838558,71,120,77.0,0,1.5,0,0,2,13713.333333,0,0,0,13620,0,0,19610,20570,0,2,,0,0,0,2,0
46,17000048,434.83637667,91,112,75.0,0,1.5,1,1,2,30760.666667,0,0,0,15910,0,50,52000,46140,34310,2,,8,980,0,2,1
47,17000049,318.83388957,53,111,62.0,0,1.5,2,2,2,27482.0,0,0,0,0,0,0,43800,41220,39740,1,,9,960,7,3,2
48,17000050,354.45144756,54,300,47.0,0,2.0,2,2,3,22377.0,0,0,0,0,0,0,47130,44750,39820,1,,0,580,0,4,2
49,17000051,686.80477691,26,111,78.0,0,1.0,0,0,1,19969.0,0,0,0,0,0,0,17570,19970,15820,1,,8,370,6,1,0
50,17000052,446.16397329,40,120,62.0,0,1.5,2,2,2,36588.0,0,0,0,0,0,20,62000,54880,63360,1,,0,830,2,3,2
